id,Fname,Minitial,Lname,Email,password,city
1,Jack,M,Joe,JackMJoe@gmail.com,1111,1
2,Oliver,J,Kalvin,OliverJKalvin@gmail.com,1111,1
3,James,O,Karter,JamesOKarter@gmail.com,1111,1
4,Charlie,Q,Kayson,CharlieQKayson@gmail.com,1111,1
5,Harris,C,Leonard,HarrisCLeonard@gmail.com,1111,1
6,Lewis,V,Lyall,LewisVLyall@gmail.com,1111,1
7,Leo,S,Mack,LeoSMack@gmail.com,1111,1
8,Noah,V,Marley,NoahVMarley@gmail.com,1111,1
9,Alfie,L,Marshall,AlfieLMarshall@gmail.com,1111,1
10,Rory,G,Micah,RoryGMicah@gmail.com,1111,1
11,Alexander,O,Muhammed,AlexanderOMuhammed@gmail.com,1111,1
12,Max,W,Nikolas,MaxWNikolas@gmail.com,1111,1
13,Logan,S,Philip,LoganSPhilip@gmail.com,1111,1
14,Lucas,N,Rafael,LucasNRafael@gmail.com,1111,1
15,Harry,J,Stefan,HarryJStefan@gmail.com,1111,1
16,Theo,L,Stewart,TheoLStewart@gmail.com,1111,1
17,Thomas,H,Torin,ThomasHTorin@gmail.com,1111,1
18,Brodie,E,Will,BrodieEWill@gmail.com,1111,1
19,Archie,E,Abdul,ArchieEAbdul@gmail.com,1111,1
20,Jacob,D,Ahmad,JacobDAhmad@gmail.com,1111,1
21,Finlay,A,Amir,FinlayAAmir@gmail.com,1111,1
22,Finn,Q,Ari,FinnQAri@gmail.com,1111,1
23,Daniel,N,Blaine,DanielNBlaine@gmail.com,1111,1
24,Joshua,K,Bryce,JoshuaKBryce@gmail.com,1111,1
25,Oscar,F,Cade,OscarFCade@gmail.com,1111,1
26,Arthur,V,Casey,ArthurVCasey@gmail.com,1111,1
27,Hunter,D,Clayton,HunterDClayton@gmail.com,1111,1
28,Ethan,D,Denis,EthanDDenis@gmail.com,1111,1
29,Mason,W,Eesa,MasonWEesa@gmail.com,1111,1
30,Harrison,B,Eoin,HarrisonBEoin@gmail.com,1111,1
31,Freddie,H,Frank,FreddieHFrank@gmail.com,1111,1
32,Ollie,O,Freddy,OllieOFreddy@gmail.com,1111,1
33,Adam,T,Gary,AdamTGary@gmail.com,1111,1
34,William,T,Glen,WilliamTGlen@gmail.com,1111,1
